300W Challenge 2013 Results
Participant: M. Hasan, C. Pal, S. Moalem, "Localizing facial keypoints with global descriptor search, neighbour alignment and locally linear models", Proceedings of IEEE International Conference on Computer Vision, Workshop on 300 Faces in-the-Wild Challenge (300-W), 2013, pp. 362–369.
-----------------------------------------------------------
Bin 68_all 68_indoor 68_outdoor 51_all 51_indoor 51_outdoor
0.0130 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0135 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0140 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0145 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0150 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0155 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0160 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0165 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0170 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0175 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0180 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0185 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0190 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0195 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0200 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0205 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0210 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0215 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0220 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0225 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0230 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0235 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0240 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0245 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0250 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0255 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0260 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0265 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0270 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0275 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0280 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0285 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0290 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0295 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0300 0.0000 0.0000 0.0000 0.0017 0.0033 0.0000
0.0305 0.0000 0.0000 0.0000 0.0033 0.0067 0.0000
0.0310 0.0000 0.0000 0.0000 0.0033 0.0067 0.0000
0.0315 0.0000 0.0000 0.0000 0.0033 0.0067 0.0000
0.0320 0.0000 0.0000 0.0000 0.0033 0.0067 0.0000
0.0325 0.0017 0.0033 0.0000 0.0033 0.0067 0.0000
0.0330 0.0017 0.0033 0.0000 0.0033 0.0067 0.0000
0.0335 0.0017 0.0033 0.0000 0.0033 0.0067 0.0000
0.0340 0.0017 0.0033 0.0000 0.0033 0.0067 0.0000
0.0345 0.0017 0.0033 0.0000 0.0050 0.0067 0.0033
0.0350 0.0017 0.0033 0.0000 0.0067 0.0100 0.0033
0.0355 0.0033 0.0067 0.0000 0.0083 0.0133 0.0033
0.0360 0.0033 0.0067 0.0000 0.0100 0.0133 0.0067
0.0365 0.0033 0.0067 0.0000 0.0100 0.0133 0.0067
0.0370 0.0033 0.0067 0.0000 0.0100 0.0133 0.0067
0.0375 0.0033 0.0067 0.0000 0.0117 0.0167 0.0067
0.0380 0.0033 0.0067 0.0000 0.0167 0.0167 0.0167
0.0385 0.0033 0.0067 0.0000 0.0167 0.0167 0.0167
0.0390 0.0033 0.0067 0.0000 0.0183 0.0200 0.0167
0.0395 0.0033 0.0067 0.0000 0.0233 0.0267 0.0200
0.0400 0.0033 0.0067 0.0000 0.0267 0.0300 0.0233
0.0405 0.0050 0.0067 0.0033 0.0267 0.0300 0.0233
0.0410 0.0050 0.0067 0.0033 0.0300 0.0300 0.0300
0.0415 0.0050 0.0067 0.0033 0.0333 0.0300 0.0367
0.0420 0.0050 0.0067 0.0033 0.0383 0.0367 0.0400
0.0425 0.0083 0.0133 0.0033 0.0433 0.0467 0.0400
0.0430 0.0117 0.0167 0.0067 0.0467 0.0500 0.0433
0.0435 0.0133 0.0200 0.0067 0.0483 0.0533 0.0433
0.0440 0.0167 0.0200 0.0133 0.0517 0.0567 0.0467
0.0445 0.0167 0.0200 0.0133 0.0517 0.0567 0.0467
0.0450 0.0167 0.0200 0.0133 0.0567 0.0633 0.0500
0.0455 0.0183 0.0233 0.0133 0.0617 0.0633 0.0600
0.0460 0.0200 0.0233 0.0167 0.0650 0.0667 0.0633
0.0465 0.0217 0.0233 0.0200 0.0667 0.0700 0.0633
0.0470 0.0233 0.0267 0.0200 0.0717 0.0767 0.0667
0.0475 0.0233 0.0267 0.0200 0.0750 0.0767 0.0733
0.0480 0.0233 0.0267 0.0200 0.0800 0.0767 0.0833
0.0485 0.0267 0.0333 0.0200 0.0833 0.0833 0.0833
0.0490 0.0300 0.0367 0.0233 0.0883 0.0900 0.0867
0.0495 0.0317 0.0400 0.0233 0.0933 0.0900 0.0967
0.0500 0.0400 0.0433 0.0367 0.1033 0.1000 0.1067
0.0505 0.0400 0.0433 0.0367 0.1067 0.1000 0.1133
0.0510 0.0467 0.0500 0.0433 0.1133 0.1033 0.1233
0.0515 0.0517 0.0567 0.0467 0.1150 0.1033 0.1267
0.0520 0.0600 0.0600 0.0600 0.1250 0.1100 0.1400
0.0525 0.0600 0.0600 0.0600 0.1317 0.1200 0.1433
0.0530 0.0667 0.0633 0.0700 0.1433 0.1300 0.1567
0.0535 0.0700 0.0700 0.0700 0.1433 0.1300 0.1567
0.0540 0.0717 0.0700 0.0733 0.1483 0.1367 0.1600
0.0545 0.0783 0.0733 0.0833 0.1583 0.1467 0.1700
0.0550 0.0833 0.0767 0.0900 0.1700 0.1533 0.1867
0.0555 0.0867 0.0833 0.0900 0.1733 0.1567 0.1900
0.0560 0.0900 0.0867 0.0933 0.1800 0.1633 0.1967
0.0565 0.0917 0.0900 0.0933 0.1850 0.1667 0.2033
0.0570 0.0967 0.0967 0.0967 0.1967 0.1833 0.2100
0.0575 0.1017 0.0967 0.1067 0.2050 0.1900 0.2200
0.0580 0.1050 0.1000 0.1100 0.2083 0.1967 0.2200
0.0585 0.1150 0.1067 0.1233 0.2117 0.1967 0.2267
0.0590 0.1200 0.1100 0.1300 0.2200 0.2067 0.2333
0.0595 0.1217 0.1133 0.1300 0.2283 0.2167 0.2400
0.0600 0.1317 0.1200 0.1433 0.2333 0.2167 0.2500
0.0605 0.1400 0.1333 0.1467 0.2483 0.2333 0.2633
0.0610 0.1433 0.1400 0.1467 0.2517 0.2367 0.2667
0.0615 0.1483 0.1400 0.1567 0.2567 0.2400 0.2733
0.0620 0.1533 0.1400 0.1667 0.2667 0.2533 0.2800
0.0625 0.1600 0.1467 0.1733 0.2767 0.2633 0.2900
0.0630 0.1717 0.1567 0.1867 0.2850 0.2667 0.3033
0.0635 0.1733 0.1600 0.1867 0.2917 0.2733 0.3100
0.0640 0.1767 0.1633 0.1900 0.3050 0.2933 0.3167
0.0645 0.1883 0.1733 0.2033 0.3083 0.2967 0.3200
0.0650 0.1967 0.1800 0.2133 0.3150 0.3067 0.3233
0.0655 0.2050 0.1900 0.2200 0.3217 0.3133 0.3300
0.0660 0.2100 0.1967 0.2233 0.3283 0.3233 0.3333
0.0665 0.2133 0.1967 0.2300 0.3333 0.3267 0.3400
0.0670 0.2267 0.2067 0.2467 0.3433 0.3333 0.3533
0.0675 0.2367 0.2167 0.2567 0.3500 0.3367 0.3633
0.0680 0.2433 0.2233 0.2633 0.3567 0.3467 0.3667
0.0685 0.2500 0.2267 0.2733 0.3650 0.3533 0.3767
0.0690 0.2550 0.2333 0.2767 0.3650 0.3533 0.3767
0.0695 0.2583 0.2367 0.2800 0.3733 0.3667 0.3800
0.0700 0.2650 0.2433 0.2867 0.3767 0.3667 0.3867
0.0705 0.2733 0.2567 0.2900 0.3883 0.3733 0.4033
0.0710 0.2767 0.2633 0.2900 0.3900 0.3767 0.4033
0.0715 0.2850 0.2767 0.2933 0.3967 0.3800 0.4133
0.0720 0.2983 0.2933 0.3033 0.4033 0.3867 0.4200
0.0725 0.3017 0.2933 0.3100 0.4133 0.4033 0.4233
0.0730 0.3033 0.2933 0.3133 0.4167 0.4033 0.4300
0.0735 0.3100 0.3033 0.3167 0.4317 0.4267 0.4367
0.0740 0.3117 0.3067 0.3167 0.4350 0.4300 0.4400
0.0745 0.3167 0.3167 0.3167 0.4417 0.4367 0.4467
0.0750 0.3200 0.3200 0.3200 0.4517 0.4433 0.4600
0.0755 0.3267 0.3267 0.3267 0.4567 0.4500 0.4633
0.0760 0.3317 0.3333 0.3300 0.4683 0.4633 0.4733
0.0765 0.3383 0.3400 0.3367 0.4750 0.4733 0.4767
0.0770 0.3467 0.3567 0.3367 0.4833 0.4800 0.4867
0.0775 0.3467 0.3567 0.3367 0.4900 0.4867 0.4933
0.0780 0.3617 0.3667 0.3567 0.4917 0.4900 0.4933
0.0785 0.3683 0.3767 0.3600 0.4983 0.4967 0.5000
0.0790 0.3717 0.3800 0.3633 0.5017 0.4967 0.5067
0.0795 0.3767 0.3833 0.3700 0.5050 0.5033 0.5067
0.0800 0.3817 0.3900 0.3733 0.5067 0.5067 0.5067
0.0805 0.3867 0.3933 0.3800 0.5117 0.5100 0.5133
0.0810 0.3983 0.3967 0.4000 0.5183 0.5200 0.5167
0.0815 0.4033 0.4000 0.4067 0.5300 0.5333 0.5267
0.0820 0.4100 0.4033 0.4167 0.5333 0.5333 0.5333
0.0825 0.4133 0.4033 0.4233 0.5433 0.5400 0.5467
0.0830 0.4167 0.4067 0.4267 0.5483 0.5500 0.5467
0.0835 0.4250 0.4200 0.4300 0.5483 0.5500 0.5467
0.0840 0.4300 0.4200 0.4400 0.5500 0.5533 0.5467
0.0845 0.4367 0.4267 0.4467 0.5517 0.5567 0.5467
0.0850 0.4433 0.4333 0.4533 0.5550 0.5600 0.5500
0.0855 0.4500 0.4400 0.4600 0.5600 0.5667 0.5533
0.0860 0.4550 0.4467 0.4633 0.5617 0.5700 0.5533
0.0865 0.4567 0.4500 0.4633 0.5650 0.5767 0.5533
0.0870 0.4600 0.4567 0.4633 0.5700 0.5867 0.5533
0.0875 0.4700 0.4633 0.4767 0.5733 0.5900 0.5567
0.0880 0.4767 0.4733 0.4800 0.5750 0.5900 0.5600
0.0885 0.4800 0.4767 0.4833 0.5750 0.5900 0.5600
0.0890 0.4817 0.4800 0.4833 0.5767 0.5933 0.5600
0.0895 0.4900 0.4867 0.4933 0.5817 0.5967 0.5667
0.0900 0.4917 0.4867 0.4967 0.5883 0.6100 0.5667
0.0905 0.5017 0.4967 0.5067 0.5917 0.6167 0.5667
0.0910 0.5117 0.5033 0.5200 0.5933 0.6200 0.5667
0.0915 0.5217 0.5133 0.5300 0.5950 0.6233 0.5667
0.0920 0.5267 0.5200 0.5333 0.5983 0.6267 0.5700
0.0925 0.5317 0.5267 0.5367 0.6000 0.6267 0.5733
0.0930 0.5367 0.5367 0.5367 0.6033 0.6300 0.5767
0.0935 0.5367 0.5367 0.5367 0.6117 0.6300 0.5933
0.0940 0.5417 0.5367 0.5467 0.6150 0.6333 0.5967
0.0945 0.5500 0.5500 0.5500 0.6200 0.6400 0.6000
0.0950 0.5600 0.5633 0.5567 0.6217 0.6433 0.6000
0.0955 0.5617 0.5667 0.5567 0.6217 0.6433 0.6000
0.0960 0.5667 0.5733 0.5600 0.6233 0.6433 0.6033
0.0965 0.5683 0.5733 0.5633 0.6267 0.6433 0.6100
0.0970 0.5717 0.5733 0.5700 0.6283 0.6433 0.6133
0.0975 0.5733 0.5767 0.5700 0.6350 0.6533 0.6167
0.0980 0.5750 0.5800 0.5700 0.6367 0.6533 0.6200
0.0985 0.5833 0.5933 0.5733 0.6417 0.6600 0.6233
0.0990 0.5833 0.5933 0.5733 0.6450 0.6633 0.6267
0.0995 0.5867 0.5933 0.5800 0.6483 0.6700 0.6267
0.1000 0.5933 0.6000 0.5867 0.6500 0.6700 0.6300
0.1005 0.5950 0.6033 0.5867 0.6517 0.6700 0.6333
0.1010 0.5983 0.6067 0.5900 0.6600 0.6833 0.6367
0.1015 0.6017 0.6100 0.5933 0.6633 0.6867 0.6400
0.1020 0.6067 0.6167 0.5967 0.6667 0.6900 0.6433
0.1025 0.6117 0.6233 0.6000 0.6717 0.6900 0.6533
0.1030 0.6117 0.6233 0.6000 0.6767 0.6967 0.6567
0.1035 0.6150 0.6267 0.6033 0.6800 0.7000 0.6600
0.1040 0.6183 0.6267 0.6100 0.6833 0.7033 0.6633
0.1045 0.6233 0.6367 0.6100 0.6850 0.7033 0.6667
0.1050 0.6267 0.6433 0.6100 0.6883 0.7067 0.6700
0.1055 0.6283 0.6433 0.6133 0.6933 0.7067 0.6800
0.1060 0.6300 0.6467 0.6133 0.6967 0.7100 0.6833
0.1065 0.6350 0.6533 0.6167 0.6983 0.7100 0.6867
0.1070 0.6400 0.6567 0.6233 0.7017 0.7133 0.6900
0.1075 0.6450 0.6600 0.6300 0.7050 0.7167 0.6933
0.1080 0.6483 0.6633 0.6333 0.7083 0.7233 0.6933
0.1085 0.6500 0.6667 0.6333 0.7133 0.7267 0.7000
0.1090 0.6533 0.6700 0.6367 0.7167 0.7300 0.7033
0.1095 0.6600 0.6800 0.6400 0.7183 0.7300 0.7067
0.1100 0.6683 0.6867 0.6500 0.7183 0.7300 0.7067
0.1105 0.6733 0.6933 0.6533 0.7200 0.7300 0.7100
0.1110 0.6767 0.6967 0.6567 0.7200 0.7300 0.7100
0.1115 0.6783 0.7000 0.6567 0.7200 0.7300 0.7100
0.1120 0.6833 0.7033 0.6633 0.7217 0.7300 0.7133
0.1125 0.6867 0.7067 0.6667 0.7233 0.7300 0.7167
0.1130 0.6867 0.7067 0.6667 0.7250 0.7333 0.7167
0.1135 0.6867 0.7067 0.6667 0.7267 0.7367 0.7167
0.1140 0.6867 0.7067 0.6667 0.7300 0.7400 0.7200
0.1145 0.6933 0.7167 0.6700 0.7333 0.7433 0.7233
0.1150 0.6950 0.7167 0.6733 0.7333 0.7433 0.7233
0.1155 0.7000 0.7233 0.6767 0.7417 0.7500 0.7333
0.1160 0.7000 0.7233 0.6767 0.7450 0.7567 0.7333
0.1165 0.7017 0.7233 0.6800 0.7483 0.7600 0.7367
0.1170 0.7067 0.7267 0.6867 0.7517 0.7600 0.7433
0.1175 0.7067 0.7267 0.6867 0.7517 0.7600 0.7433
0.1180 0.7100 0.7300 0.6900 0.7533 0.7600 0.7467
0.1185 0.7133 0.7333 0.6933 0.7567 0.7633 0.7500
0.1190 0.7150 0.7333 0.6967 0.7583 0.7667 0.7500
0.1195 0.7167 0.7333 0.7000 0.7617 0.7700 0.7533
0.1200 0.7217 0.7400 0.7033 0.7617 0.7700 0.7533
0.1205 0.7267 0.7467 0.7067 0.7617 0.7700 0.7533
0.1210 0.7300 0.7533 0.7067 0.7633 0.7733 0.7533
0.1215 0.7300 0.7533 0.7067 0.7667 0.7800 0.7533
0.1220 0.7317 0.7533 0.7100 0.7667 0.7800 0.7533
0.1225 0.7350 0.7533 0.7167 0.7717 0.7867 0.7567
0.1230 0.7367 0.7533 0.7200 0.7783 0.7933 0.7633
0.1235 0.7450 0.7633 0.7267 0.7800 0.7967 0.7633
0.1240 0.7450 0.7633 0.7267 0.7817 0.8000 0.7633
0.1245 0.7533 0.7733 0.7333 0.7817 0.8000 0.7633
0.1250 0.7533 0.7733 0.7333 0.7900 0.8033 0.7767
0.1255 0.7567 0.7733 0.7400 0.7917 0.8033 0.7800
0.1260 0.7600 0.7767 0.7433 0.7933 0.8067 0.7800
0.1265 0.7633 0.7833 0.7433 0.7967 0.8100 0.7833
0.1270 0.7633 0.7833 0.7433 0.7983 0.8133 0.7833
0.1275 0.7683 0.7900 0.7467 0.8000 0.8167 0.7833
0.1280 0.7683 0.7900 0.7467 0.8000 0.8167 0.7833
0.1285 0.7700 0.7900 0.7500 0.8033 0.8200 0.7867
0.1290 0.7733 0.7933 0.7533 0.8100 0.8233 0.7967
0.1295 0.7783 0.8000 0.7567 0.8117 0.8267 0.7967
0.1300 0.7800 0.8000 0.7600 0.8167 0.8333 0.8000
0.1305 0.7800 0.8000 0.7600 0.8167 0.8333 0.8000
0.1310 0.7800 0.8000 0.7600 0.8183 0.8367 0.8000
0.1315 0.7800 0.8000 0.7600 0.8183 0.8367 0.8000
0.1320 0.7800 0.8000 0.7600 0.8200 0.8367 0.8033
0.1325 0.7800 0.8000 0.7600 0.8200 0.8367 0.8033
0.1330 0.7833 0.8067 0.7600 0.8200 0.8367 0.8033
0.1335 0.7833 0.8067 0.7600 0.8250 0.8400 0.8100
0.1340 0.7850 0.8100 0.7600 0.8250 0.8400 0.8100
0.1345 0.7850 0.8100 0.7600 0.8267 0.8400 0.8133
0.1350 0.7883 0.8167 0.7600 0.8283 0.8433 0.8133
0.1355 0.7917 0.8233 0.7600 0.8283 0.8433 0.8133
0.1360 0.7933 0.8267 0.7600 0.8300 0.8467 0.8133
0.1365 0.7933 0.8267 0.7600 0.8317 0.8500 0.8133
0.1370 0.7933 0.8267 0.7600 0.8317 0.8500 0.8133
0.1375 0.7967 0.8300 0.7633 0.8317 0.8500 0.8133
0.1380 0.8000 0.8333 0.7667 0.8333 0.8533 0.8133
0.1385 0.8000 0.8333 0.7667 0.8350 0.8567 0.8133
0.1390 0.8017 0.8333 0.7700 0.8383 0.8633 0.8133
0.1395 0.8050 0.8400 0.7700 0.8383 0.8633 0.8133
0.1400 0.8050 0.8400 0.7700 0.8400 0.8667 0.8133
0.1405 0.8050 0.8400 0.7700 0.8417 0.8667 0.8167
0.1410 0.8050 0.8400 0.7700 0.8433 0.8700 0.8167
0.1415 0.8083 0.8467 0.7700 0.8467 0.8733 0.8200
0.1420 0.8117 0.8500 0.7733 0.8467 0.8733 0.8200
0.1425 0.8133 0.8500 0.7767 0.8483 0.8733 0.8233
0.1430 0.8133 0.8500 0.7767 0.8483 0.8733 0.8233
0.1435 0.8150 0.8533 0.7767 0.8500 0.8767 0.8233
0.1440 0.8167 0.8567 0.7767 0.8533 0.8800 0.8267
0.1445 0.8183 0.8600 0.7767 0.8533 0.8800 0.8267
0.1450 0.8233 0.8633 0.7833 0.8533 0.8800 0.8267
0.1455 0.8233 0.8633 0.7833 0.8550 0.8833 0.8267
0.1460 0.8283 0.8700 0.7867 0.8550 0.8833 0.8267
0.1465 0.8317 0.8733 0.7900 0.8550 0.8833 0.8267
0.1470 0.8350 0.8733 0.7967 0.8550 0.8833 0.8267
0.1475 0.8367 0.8733 0.8000 0.8550 0.8833 0.8267
0.1480 0.8417 0.8800 0.8033 0.8600 0.8867 0.8333
0.1485 0.8433 0.8800 0.8067 0.8617 0.8900 0.8333
0.1490 0.8433 0.8800 0.8067 0.8617 0.8900 0.8333
0.1495 0.8450 0.8800 0.8100 0.8617 0.8900 0.8333
0.1500 0.8450 0.8800 0.8100 0.8633 0.8900 0.8367
0.1505 0.8483 0.8833 0.8133 0.8667 0.8933 0.8400
0.1510 0.8500 0.8867 0.8133 0.8683 0.8933 0.8433
0.1515 0.8500 0.8867 0.8133 0.8717 0.9000 0.8433
0.1520 0.8517 0.8867 0.8167 0.8717 0.9000 0.8433
0.1525 0.8533 0.8867 0.8200 0.8733 0.9033 0.8433
0.1530 0.8550 0.8867 0.8233 0.8750 0.9033 0.8467
0.1535 0.8550 0.8867 0.8233 0.8750 0.9033 0.8467
0.1540 0.8567 0.8900 0.8233 0.8750 0.9033 0.8467
0.1545 0.8600 0.8900 0.8300 0.8767 0.9033 0.8500
0.1550 0.8600 0.8900 0.8300 0.8767 0.9033 0.8500
0.1555 0.8633 0.8933 0.8333 0.8767 0.9033 0.8500
0.1560 0.8650 0.8933 0.8367 0.8767 0.9033 0.8500
0.1565 0.8650 0.8933 0.8367 0.8767 0.9033 0.8500
0.1570 0.8650 0.8933 0.8367 0.8767 0.9033 0.8500
0.1575 0.8683 0.9000 0.8367 0.8767 0.9033 0.8500
0.1580 0.8700 0.9033 0.8367 0.8767 0.9033 0.8500
0.1585 0.8717 0.9033 0.8400 0.8783 0.9033 0.8533
0.1590 0.8733 0.9033 0.8433 0.8783 0.9033 0.8533
0.1595 0.8733 0.9033 0.8433 0.8783 0.9033 0.8533
0.1600 0.8750 0.9033 0.8467 0.8800 0.9067 0.8533
0.1605 0.8767 0.9033 0.8500 0.8817 0.9067 0.8567
0.1610 0.8783 0.9033 0.8533 0.8833 0.9067 0.8600
0.1615 0.8783 0.9033 0.8533 0.8867 0.9067 0.8667
0.1620 0.8800 0.9033 0.8567 0.8867 0.9067 0.8667
0.1625 0.8817 0.9033 0.8600 0.8867 0.9067 0.8667
0.1630 0.8817 0.9033 0.8600 0.8867 0.9067 0.8667
0.1635 0.8850 0.9100 0.8600 0.8867 0.9067 0.8667
0.1640 0.8850 0.9100 0.8600 0.8883 0.9100 0.8667
0.1645 0.8850 0.9100 0.8600 0.8917 0.9133 0.8700
0.1650 0.8867 0.9100 0.8633 0.8933 0.9167 0.8700
0.1655 0.8867 0.9100 0.8633 0.8950 0.9200 0.8700
0.1660 0.8883 0.9133 0.8633 0.8967 0.9233 0.8700
0.1665 0.8883 0.9133 0.8633 0.9000 0.9300 0.8700
0.1670 0.8883 0.9133 0.8633 0.9000 0.9300 0.8700
0.1675 0.8900 0.9133 0.8667 0.9000 0.9300 0.8700
0.1680 0.8950 0.9200 0.8700 0.9017 0.9300 0.8733
0.1685 0.8950 0.9200 0.8700 0.9017 0.9300 0.8733
0.1690 0.8950 0.9200 0.8700 0.9017 0.9300 0.8733
0.1695 0.8967 0.9233 0.8700 0.9017 0.9300 0.8733
0.1700 0.8967 0.9233 0.8700 0.9017 0.9300 0.8733
0.1705 0.8983 0.9267 0.8700 0.9017 0.9300 0.8733
0.1710 0.8983 0.9267 0.8700 0.9067 0.9300 0.8833
0.1715 0.9000 0.9267 0.8733 0.9083 0.9333 0.8833
0.1720 0.9017 0.9267 0.8767 0.9083 0.9333 0.8833
0.1725 0.9017 0.9267 0.8767 0.9100 0.9333 0.8867
0.1730 0.9017 0.9267 0.8767 0.9133 0.9367 0.8900
0.1735 0.9033 0.9300 0.8767 0.9133 0.9367 0.8900
0.1740 0.9050 0.9333 0.8767 0.9133 0.9367 0.8900
0.1745 0.9083 0.9367 0.8800 0.9133 0.9367 0.8900
0.1750 0.9100 0.9367 0.8833 0.9133 0.9367 0.8900
0.1755 0.9100 0.9367 0.8833 0.9150 0.9400 0.8900
0.1760 0.9100 0.9367 0.8833 0.9150 0.9400 0.8900
0.1765 0.9100 0.9367 0.8833 0.9150 0.9400 0.8900
0.1770 0.9100 0.9367 0.8833 0.9167 0.9433 0.8900
0.1775 0.9100 0.9367 0.8833 0.9183 0.9433 0.8933
0.1780 0.9100 0.9367 0.8833 0.9183 0.9433 0.8933
0.1785 0.9100 0.9367 0.8833 0.9217 0.9433 0.9000
0.1790 0.9133 0.9367 0.8900 0.9217 0.9433 0.9000
0.1795 0.9133 0.9367 0.8900 0.9217 0.9433 0.9000
0.1800 0.9133 0.9367 0.8900 0.9217 0.9433 0.9000
0.1805 0.9133 0.9367 0.8900 0.9217 0.9433 0.9000
0.1810 0.9133 0.9367 0.8900 0.9217 0.9433 0.9000
0.1815 0.9133 0.9367 0.8900 0.9217 0.9433 0.9000
0.1820 0.9133 0.9367 0.8900 0.9217 0.9433 0.9000
0.1825 0.9133 0.9367 0.8900 0.9233 0.9467 0.9000
0.1830 0.9150 0.9367 0.8933 0.9250 0.9467 0.9033
0.1835 0.9150 0.9367 0.8933 0.9267 0.9500 0.9033
0.1840 0.9167 0.9400 0.8933 0.9267 0.9500 0.9033
0.1845 0.9167 0.9400 0.8933 0.9267 0.9500 0.9033
0.1850 0.9167 0.9400 0.8933 0.9283 0.9500 0.9067
0.1855 0.9167 0.9400 0.8933 0.9300 0.9500 0.9100
0.1860 0.9167 0.9400 0.8933 0.9317 0.9533 0.9100
0.1865 0.9183 0.9433 0.8933 0.9317 0.9533 0.9100
0.1870 0.9183 0.9433 0.8933 0.9317 0.9533 0.9100
0.1875 0.9183 0.9433 0.8933 0.9317 0.9533 0.9100
0.1880 0.9183 0.9433 0.8933 0.9317 0.9533 0.9100
0.1885 0.9200 0.9433 0.8967 0.9317 0.9533 0.9100
0.1890 0.9200 0.9433 0.8967 0.9317 0.9533 0.9100
0.1895 0.9200 0.9433 0.8967 0.9317 0.9533 0.9100
0.1900 0.9200 0.9433 0.8967 0.9333 0.9567 0.9100
0.1905 0.9200 0.9433 0.8967 0.9333 0.9567 0.9100
0.1910 0.9200 0.9433 0.8967 0.9333 0.9567 0.9100
0.1915 0.9200 0.9433 0.8967 0.9350 0.9567 0.9133
0.1920 0.9200 0.9433 0.8967 0.9350 0.9567 0.9133
0.1925 0.9200 0.9433 0.8967 0.9350 0.9567 0.9133
0.1930 0.9200 0.9433 0.8967 0.9367 0.9567 0.9167
0.1935 0.9200 0.9433 0.8967 0.9367 0.9567 0.9167
0.1940 0.9217 0.9433 0.9000 0.9367 0.9567 0.9167
